0, 1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 
1 2, 0.0014739,0.000610113,0.000808001,0.00089097,0.000996113,0.00112987,0.00136709,0.00139499,0.00158286,0.00181794,0.00202799,0.00194001,0.00212193,0.00223494,0.00243711,0.00258207,0.00281692,0.0028801,0.00304508,0.00300598,0.00314498,0.00340891,0.00366688,0.00354791,0.0038631,0.00383186,0.00422502,0.00414014,0.00429606,0.00466108,0.00455999,0.0048039,0.00506592,0.00506902,0.00541282,0.00523615,0.00548792,0.00559902,0.00556993,0.00574303,0.00609684,0.00645304,0.00615716,0.00659013,0.00657105,0.00696802,0.00678802,0.00703001,0.00721121,
1 3, 0.00142908,0.000697136,0.000846148,0.000997066,0.00115108,0.00129604,0.00143099,0.00173688,0.00174189,0.00202799,0.00209403,0.00220013,0.00229192,0.00243902,0.00269914,0.00287294,0.0028491,0.00324893,0.00324202,0.00329399,0.00377011,0.00386906,0.00379992,0.00419903,0.00418115,0.00417209,0.00465202,0.00464106,0.00485802,0.00479102,0.00503802,0.00526619,0.00516486,0.00570297,0.00573301,0.00616193,0.00622606,0.00592399,0.00597596,0.00660896,0.0065589,0.00685406,0.00715613,0.00696492,0.00734901,0.00750589,0.00721788,0.00759792,0.00774407,
3 0, 0.00162697,0.000642061,0.000884056,0.000853062,0.001086,0.00114584,0.00137305,0.00149918,0.00163984,0.00188112,0.00189495,0.0020802,0.00234008,0.00228906,0.00253296,0.00250912,0.00274587,0.00278902,0.00293708,0.00304604,0.00334501,0.00356698,0.00365305,0.00371408,0.00403595,0.00386,0.00414801,0.00412893,0.00460601,0.00446916,0.00453496,0.00474095,0.00490904,0.00494003,0.00524712,0.00523615,0.00561118,0.00545096,0.00563288,0.00605512,0.00589108,0.00630999,0.00636101,0.00632095,0.00643587,0.00693297,0.00699878,0.00710702,0.0075469,
4 0, 0.00154495,0.000669003,0.000636101,0.000767946,0.000821829,0.00105286,0.0010159,0.00107598,0.00118685,0.00118399,0.00139499,0.00133491,0.00160599,0.00160003,0.00171995,0.00180888,0.00204611,0.00211811,0.00199389,0.00220585,0.00237393,0.00225997,0.00230217,0.00250387,0.00246406,0.00266504,0.00288582,0.00270915,0.00306892,0.00314808,0.003021,0.00336504,0.00334311,0.00354409,0.00355911,0.00365901,0.0039959,0.00378299,0.00370097,0.00415492,0.00397801,0.00394702,0.00439692,0.00442386,0.00433683,0.0041821,0.004637,0.00478292,0.00449204,
6 0, 0.0014689,0.000581026,0.000638008,0.000646114,0.000780106,0.000812054,0.000813007,0.000942945,0.000951052,0.00107789,0.00114202,0.00121903,0.00116301,0.00141215,0.00137901,0.00150704,0.00155091,0.00171208,0.00167489,0.00163317,0.00200701,0.00194502,0.00181198,0.002033,0.00203919,0.00196218,0.00217915,0.00232911,0.00226808,0.00247192,0.0022471,0.00269103,0.00233984,0.00279307,0.00251198,0.00256205,0.00250006,0.00255489,0.00309086,0.00325298,0.00321507,0.00316,0.00315189,0.00293493,0.00344992,0.00328994,0.00357389,0.0034349,0.00392699,
10 0, 0.00145197,0.000633001,0.000597,0.000710011,0.00078702,0.000791073,0.000843048,0.000888824,0.000965834,0.000996113,0.00115609,0.00108099,0.00130701,0.00125813,0.00130296,0.00137901,0.00143385,0.00171709,0.001652,0.00178695,0.00186706,0.00173616,0.00194597,0.00204992,0.00188184,0.00205398,0.00225592,0.002244,0.00222206,0.00252604,0.00230408,0.00243592,0.00236487,0.00257301,0.00265193,0.00259089,0.00311518,0.00290513,0.00284195,0.00314808,0.00278497,0.00295997,0.00347304,0.00308585,0.00346589,0.00307012,0.00381494,0.00360298,0.00394201,
18 0, 0.00143504,0.000553131,0.000547171,0.000699997,0.000684977,0.000733137,0.000803947,0.000823975,0.00090003,0.000987053,0.00101089,0.00113392,0.00122094,0.00121403,0.00118494,0.00151014,0.00155902,0.00166583,0.00152111,0.00159001,0.00167394,0.00161695,0.00192404,0.00204515,0.00205207,0.00185204,0.00221109,0.00212097,0.00203395,0.00221181,0.002388,0.00232482,0.00222397,0.00255704,0.0025599,0.00274014,0.00255704,0.00283313,0.00282407,0.00313687,0.00308108,0.00304794,0.00277495,0.00297379,0.00306606,0.00330997,0.00319004,0.00328612,0.00323296,
34 0, 0.00167203,0.00068903,0.000705957,0.000730991,0.000757933,0.000812054,0.000883102,0.00090003,0.00103784,0.00106502,0.00107622,0.00116301,0.00122309,0.00124717,0.00127912,0.00133896,0.00152183,0.00176001,0.00170588,0.00176287,0.00168014,0.00187421,0.00181913,0.002038,0.00198889,0.00221491,0.00212216,0.00209594,0.00209713,0.00243211,0.00259113,0.00261593,0.00265312,0.00261307,0.00277185,0.00277591,0.00288606,0.00301409,0.00317287,0.00286698,0.00323796,0.00315499,0.00293088,0.00313091,0.00297904,0.00313306,0.00318813,0.00362802,0.00329995,
3 1, 0.00166893,0.000715017,0.000801086,0.000892878,0.00104713,0.00111008,0.00122499,0.00143385,0.00145411,0.00178194,0.0017519,0.00197697,0.00211811,0.00220799,0.00237489,0.00252891,0.00263286,0.00280714,0.00291491,0.00320315,0.00317597,0.00351501,0.00351596,0.00380397,0.00395799,0.00384593,0.00388885,0.0042758,0.00443006,0.00432491,0.004668,0.00453997,0.00487614,0.00501204,0.00527096,0.00488114,0.00545883,0.005373,0.00583982,0.00568891,0.00559306,0.00576401,0.006109,0.00641203,0.00650096,0.00645804,0.00683188,0.00639987,0.00665092,
4 1, 0.00149584,0.000571966,0.000679016,0.000643015,0.000683069,0.000760078,0.000807047,0.00086689,0.000936031,0.00105309,0.00108314,0.00122094,0.00134683,0.00135899,0.00154305,0.00147796,0.00154805,0.00158501,0.00165582,0.00174904,0.00177312,0.00183606,0.00194693,0.00197482,0.00205112,0.00219989,0.00223279,0.00225902,0.00237679,0.00241804,0.00247192,0.00262403,0.00260806,0.00274801,0.00274682,0.00282407,0.00298595,0.0030148,0.00309014,0.00316405,0.00322795,0.00329804,0.00339007,0.00342107,0.00346017,0.00353694,0.00359797,0.00364709,0.00371885,
