0, 1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 
1 2, 0.000538111,0.000416994,0.000418186,0.000418901,0.000492811,0.000509977,0.000428915,0.000427008,0.000375032,0.000486135,0.00043416,0.000416994,0.000530005,0.000466108,0.000497103,0.000458956,0.000475883,0.000387907,0.000427961,0.000641823,0.000542879,0.000426054,0.000475168,0.000475883,0.000380993,0.000458002,0.000380993,0.0003829,0.000383854,0.000501156,0.000390053,0.000378847,0.000465155,0.000498056,0.000387192,0.000472069,0.00045681,0.000400066,0.000423908,0.000539064,0.000424147,0.000432968,0.000468016,0.000440121,0.000436068,0.000442028,0.000400066,0.000721931,0.000472069,
1 3, 0.000672102,0.000645876,0.000573874,0.000633001,0.000583887,0.000658035,0.00058198,0.000535965,0.000527143,0.000832081,0.000770092,0.000647068,0.000653982,0.000607014,0.000618935,0.000584126,0.000616074,0.000573874,0.000654936,0.00068593,0.000620842,0.000571966,0.000556946,0.000801802,0.000625134,0.00058794,0.000589848,0.000586987,0.000581026,0.000766993,0.00065589,0.00054884,0.000741005,0.000551939,0.000585079,0.000539064,0.000560999,0.000586033,0.000571012,0.00080204,0.000575066,0.000551939,0.000552177,0.000595093,0.000617027,0.000720978,0.000684977,0.000591993,0.000537157,
3 0, 0.000218153,0.000184059,0.000181913,0.000182152,0.000184059,0.000184059,0.000185966,0.000195026,0.00044179,0.000271797,0.000265837,0.000184059,0.000185013,0.000225067,0.000185013,0.000253916,0.000185013,0.000187159,0.000518084,0.000327826,0.000191927,0.000188112,0.000189066,0.000188112,0.000188112,0.000189066,0.000257015,0.000187874,0.000579119,0.000279188,0.000206947,0.000200987,0.000204086,0.00019002,0.000190973,0.00019002,0.000190973,0.000192881,0.000513792,0.000282049,0.000204086,0.000203133,0.000191927,0.000189066,0.00019002,0.000187874,0.00019002,0.000189066,0.000608206,
4 0, 0.00106096,0.000185013,0.00137591,0.00163698,0.000189781,0.00192285,0.00215387,0.000225067,0.00279689,0.00277495,0.000194073,0.00331211,0.003227,0.000185013,0.00361896,0.00388384,0.000188828,0.004215,0.00469899,0.000301123,0.00486016,0.00505996,0.000193119,0.00542903,0.00566983,0.000193834,0.00622201,0.00621796,0.000519037,0.00678921,0.00696301,0.00026083,0.00723219,0.00748396,0.000190973,0.00781393,0.00799394,0.000194073,0.00873184,0.00868201,0.000194073,0.00924206,0.00919199,0.00019002,0.00968313,0.00986886,0.000231981,0.0101891,0.010689,
6 0, 0.000883102,0.00113583,0.0010612,0.00140405,0.001724,0.00177598,0.00182009,0.00222921,0.00229979,0.00165105,0.0024159,0.00176597,0.00182796,0.00152707,0.00203085,0.00170517,0.00335598,0.00225019,0.00374389,0.00413489,0.00419497,0.00416088,0.00430393,0.00443602,0.00277495,0.00494194,0.0029881,0.0031209,0.00229001,0.00349808,0.00212812,0.00572491,0.00360584,0.00616407,0.00619292,0.00643206,0.00656319,0.00671601,0.0073061,0.0040822,0.00725913,0.00421095,0.00427794,0.00264788,0.00462103,0.00266695,0.00823498,0.00465512,0.00880694,
10 0, 0.00102091,0.0010221,0.00103593,0.00122595,0.00153589,0.00167704,0.00124216,0.00139213,0.00217295,0.00173807,0.00234699,0.00173378,0.0026691,0.00273705,0.00310802,0.00201607,0.00208402,0.00345302,0.00358009,0.00161791,0.00237608,0.00243688,0.00409198,0.00446105,0.00435209,0.00297093,0.00471187,0.00289392,0.00503206,0.00305295,0.00534916,0.00542593,0.00210404,0.0058558,0.00342393,0.00621819,0.00625801,0.00384092,0.00659204,0.00689101,0.00258303,0.004143,0.00403285,0.00748301,0.00756121,0.00257015,0.007653,0.00450182,0.00808096,
18 0, 0.00100398,0.00110698,0.00125289,0.00125909,0.00161982,0.00166702,0.00109005,0.00197387,0.00156689,0.00223207,0.00172305,0.00251603,0.00280285,0.00136995,0.00167418,0.00320601,0.00210404,0.00353909,0.0023191,0.00364494,0.00378919,0.00198603,0.00173688,0.00426984,0.00440502,0.00459099,0.00303292,0.00483108,0.00315189,0.00317001,0.00337887,0.003196,0.002352,0.00339794,0.00619888,0.00616884,0.00355792,0.00634503,0.00655103,0.00256419,0.00404882,0.00414491,0.00703502,0.00718904,0.00254893,0.00426102,0.00779009,0.00792217,0.00816703,
34 0, 0.00102997,0.0011549,0.00131488,0.00148892,0.00143814,0.00136709,0.00114584,0.00153899,0.001369,0.00162816,0.00239706,0.00176501,0.00288796,0.0019269,0.0022099,0.0032959,0.00236893,0.0035069,0.00370193,0.00370216,0.00244713,0.00398088,0.00257587,0.00425911,0.00441504,0.00465798,0.00483894,0.00486112,0.0052259,0.00545502,0.00209498,0.00558615,0.00569797,0.00579,0.00351095,0.00608397,0.00257087,0.0037179,0.0066371,0.00675106,0.00415683,0.00701499,0.00721788,0.00743508,0.00268602,0.00438881,0.00774193,0.00784707,0.00469303,
3 1, 0.000203848,0.000187874,0.00020504,0.000182867,0.000185013,0.000185013,0.000216007,0.00018692,0.000478983,0.00027585,0.000213146,0.000188828,0.000185966,0.000231028,0.000187159,0.000195026,0.00019598,0.000194788,0.000496864,0.000322819,0.000191927,0.000190973,0.00019002,0.000193834,0.000218153,0.00019002,0.000265121,0.00019598,0.000548124,0.000282049,0.000192881,0.000197887,0.000190973,0.000192165,0.00019002,0.000194073,0.000192881,0.000195026,0.000550032,0.00029707,0.000195026,0.000194073,0.000192881,0.000190973,0.000188828,0.000191927,0.00019598,0.000189781,0.000506878,
4 1, 0.00020504,0.00148511,0.000193834,0.00190806,0.000188112,0.00249195,0.000188112,0.00296116,0.000416994,0.00370002,0.000189066,0.00407791,0.000187874,0.00482011,0.000226021,0.00552392,0.000192165,0.00616693,0.000479937,0.00649214,0.000193119,0.00698805,0.000196934,0.0076251,0.000190973,0.00819111,0.000192881,0.00897813,0.000550985,0.00945687,0.000233173,0.00995612,0.000239849,0.0105381,0.000192881,0.0113311,0.000194073,0.011837,0.000542879,0.012413,0.000204086,0.012903,0.000207901,0.0135059,0.000193119,0.0140829,0.000190973,0.0146861,0.000494003,
